Player,R,B,4s,6s,Not Out
Aaron Finch,86,61,10,3,0
Abdul Samad,4,7,0,0,0
Abhijeet Tomar,4,8,1,0,0
Abhinav Manohar,108,75,14,3,1
Abhishek Sharma,426,320,47,13,0
Aiden Markram,381,274,25,19,4
Ajinkya Rahane,133,128,14,4,0
Akash Deep,0,2,0,0,0
Alzarri Joseph,5,7,0,0,2
Aman Hakim Khan,5,3,1,0,0
Ambati Rayudu,274,224,25,15,0
Andre Russell,335,192,18,32,3
Anmolpreet Singh,13,13,1,0,0
Anrich Nortje,1,6,0,0,1
Anuj Rawat,129,118,10,7,0
Anukul Roy,0,2,0,0,0
Arshdeep Singh,21,29,3,0,3
Avesh Khan,22,13,0,3,3
Axar Patel,182,120,12,10,6
Ayush Badoni,161,130,11,7,3
Baba Indrajith †,21,30,2,0,0
Bhanuka Rajapaksa,132,98,11,6,0
Bhanuka Rajapaksa †,74,31,5,7,0
Bhuvneshwar Kumar,23,25,3,0,3
Bhuvneshwar Kumar (c),1,1,0,0,0
Chris Jordan,11,8,0,0,1
Daniel Sams,38,36,1,3,3
Daryl Mitchell,33,44,1,0,0
David Miller,481,337,32,23,9
David Warner,432,287,52,15,3
David Willey,18,30,3,0,0
Deepak Hooda,451,330,36,18,0
Devdutt Padikkal,376,306,40,14,0
Devon Conway,252,173,22,12,1
Dewald Brevis,161,113,14,11,0
Dinesh Karthik †,330,180,27,22,10
Dushmantha Chameera,43,28,3,3,4
Dwaine Pretorius,44,28,3,3,1
Dwayne Bravo,23,24,1,1,4
Evin Lewis,73,56,8,3,2
Fabian Allen,8,7,1,0,0
Faf du Plessis (c),468,367,49,13,1
Fazalhaq Farooqi,2,8,0,0,1
Glenn Maxwell,301,178,31,15,2
Hardik Pandya (c),487,371,49,12,4
Harpreet Brar,22,25,1,2,0
Harshal Patel,43,39,4,2,3
Harshit Rana,2,2,0,0,1
Hrithik Shokeen,43,48,5,0,1
Ishan Kishan †,418,348,45,11,1
Jagadeesha Suchith,2,8,0,0,0
James Neesham,31,27,3,0,0
Jason Holder,58,44,2,6,2
Jasprit Bumrah,0,8,0,0,4
Jaydev Unadkat,59,37,4,3,2
Jitesh Sharma,23,11,1,2,0
Jitesh Sharma †,211,132,21,10,2
Jonny Bairstow,245,167,32,9,0
Jonny Bairstow †,8,8,2,0,0
Jos Buttler,863,579,83,45,2
